"Ward No","Ward Name","Sub Division","Division","Assembly Constituency","Zone Name","Park Name","Latitude ","Longitude","Square Meter","","","","","","","","",""
"12","Shettihalli","Shetty halli","Dasarahalli","Dasarahalli","Dasarahalli","Abbigere Hospital park","13.070317","77.527252","9,994.89","","","","","","","","",""
"12","Shettihalli","Shetty halli","Dasarahalli","Dasarahalli","Dasarahalli","Vishweshwaraiah Enclave park","13.070448","77.527119","45,250.00","","","","","","","","",""
"12","Shettihalli","Shetty halli","Dasarahalli","Dasarahalli","Dasarahalli","Aladamara park","12.989455","77.535929","37,977.00","","","","","","","","",""
"12","Shettihalli","Shetty halli","Dasarahalli","Dasarahalli","Dasarahalli","(1) Anjeniya swamy Temple part ","13.077692","77.525564","96,825.00","","","","","","","","",""
"12","Shettihalli","Shetty halli","Dasarahalli","Dasarahalli","Dasarahalli","(2) Gelayara balaga Part-1 ","13.067068","77.503779","0.00","","","","","","","","",""
"12","Shettihalli","Shetty halli","Dasarahalli","Dasarahalli","Dasarahalli","(3) Gelayara Balaga part- 2.","13.070793","77.5091","0.00","","","","","","","","",""
"13","Mallasandra","Shetty halli","Dasarahalli","Dasarahalli","Dasarahalli","Airforce park, Mallasandra","13.059948","77.515961","41,464.00","","","","","","","","",""
"13","Mallasandra","Shetty halli","Dasarahalli","Dasarahalli","Dasarahalli","PiPeline Park Mallsandra","13.05035","77.516813","4,997.44","","","","","","","","",""
"13","Mallasandra","Shetty halli","Dasarahalli","Dasarahalli","Dasarahalli","Airforce Road park","13.060254","77.516118","41,624.00","","","","","","","","",""
"13","Mallasandra","Shetty halli","Dasarahalli","Dasarahalli","Dasarahalli","Muthuraya swamy temple park","13.056894","77.511257","593.00","","","","","","","","",""
"14","Bagalakunte","T.Dasarahalli","Dasarahalli","Dasarahalli","Dasarahalli","Ramaiah Layout, Park part -2","13.048854","77.504246","745.55","","","","","","","","",""
"14","Bagalakunte","T.Dasarahalli","Dasarahalli","Dasarahalli","Dasarahalli","BBMP Offices Park","13.057932","77.501621","399.76","","","","","","","","",""
"14","Bagalakunte","T.Dasarahalli","Dasarahalli","Dasarahalli","Dasarahalli","Ravi Kirloskar Layout park, part-3","13.055884","77.484237","1,236.35","","","","","","","","",""
"14","Bagalakunte","T.Dasarahalli","Dasarahalli","Dasarahalli","Dasarahalli","MEI Layout park, part-3","13.06066","77.506522","61,904.00","","","","","","","","",""
"14","Bagalakunte","T.Dasarahalli","Dasarahalli","Dasarahalli","Dasarahalli","Ravi Kirlosker Layout park, part-2","13.051338","77.484371","15,287.00","","","","","","","","",""
"14","Bagalakunte","T.Dasarahalli","Dasarahalli","Dasarahalli","Dasarahalli","MEI Layout park, part-2","13.060162","77.506498","37,514.00","","","","","","","","",""
"14","Bagalakunte","T.Dasarahalli","Dasarahalli","Dasarahalli","Dasarahalli","Nelamaheshwaramma Temple Park","13.055178","77.491291","3,498.17","","","","","","","","",""
"14","Bagalakunte","T.Dasarahalli","Dasarahalli","Dasarahalli","Dasarahalli","Ravi Kirloskar park Part-1","13.053733","77.486944","1,343.29","","","","","","","","",""
"14","Bagalakunte","T.Dasarahalli","Dasarahalli","Dasarahalli","Dasarahalli","Ramaiah Layout park, Part 1","13.047733","77.503937","1,067.46","","","","","","","","",""
"16","Jalahalli","Yeshwanthpura","Yeshwanthpura","Rajarajeswari Nagara","Rajarajeshwari Nagara","Maintenance of Sharadhamba Nagar Park","13.046774","77.55354","5,100.00","","","","","","","","",""
"17","J P Park","Yeshwanthpura","Yeshwanthpura","Rajarajeswari Nagara","Rajarajeshwari Nagara","Maintenance of Sundr Nagar Park (Mattikere)","13.04104","77.558328","1,620.00","","","","","","","","",""
"17","J P Park","Yeshwanthpura","Yeshwanthpura","Rajarajeswari Nagara","Rajarajeshwari Nagara","Maintainence of JP Park","13.034886","77.553394","2,32,740.21","","","","","","","","",""
"17","J P Park","Yeshwanthpura","Yeshwanthpura","Rajarajeswari Nagara","Rajarajeshwari Nagara","Maintenance of SBM Colony Park","13.038227","77.554122","208.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","80 fite road park","13.028165","77.573781","1,569.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","Judicial Layput, 1St main","13.035","77.572843","1,150.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","Isro main Road, Insidepark","13.034994","77.572828","4,345.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","RMV 2nd stage 3rd main road Boleward Park part 1","13.043501","77.568341","9,829.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","MLA Layout 1st main road Park","13.018911","77.591087","2,767.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","R M V 2nd stage, 4th A Main road, trangal Park","13.0308","77.5733","1,125.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","Bandea Colony park, geddala halli","13.028422","77.575683","1,352.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","R MV 2nd stage, 3rd main, Buleward park part-2","13.041572","77.568238","8,708.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","R M V 2nd stage, 3rd Main, Major Water Canel Park","13.04045","77.568308","5,234.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","A.G.S Layout, 1st Main road Park Part-1","13.032503","77.563442","1,112.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","R.M.V 2nd Stage, 4th Corss, Near Kanthi Sweets Park","13.034439","77.569718","1,555.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","R MV 2nd Stage, Soundarya Park","13.031914","77.577286","7,183.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","AECS Lyt, 4th Main, HT Line Part 1","13.038827","77.574713","0.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","AECS Lyt,4 th MainH Line Part 2","13.038927","77.574922","0.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","Sanjaynagara Main Jyothivana Park","13.033915","77.575495","0.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","AGS badavane Park-2","13.035469","77.563605","795.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","NTI Badavane RSLP Park","13.041171","77.571015","729.00","","","","","","","","",""
"18","Radhakrishna Temple Ward","Hebbal","Hebbal","Hebbal","East","M L A LaYOUT 4TH sTAGE","13.028137","77.574426","5,233.00","","","","","","","","",""
"19","Sanjaya Nagara","Hebbal","Hebbal","Hebbal","East","Sanjaynagara main road","13.031747","77.577439","5,002.00","","","","","","","","",""
"19","Sanjaya Nagara","Hebbal","Hebbal","Hebbal","East","k E B Layout, 40 fit Corss Road","13.031201","77.580742","2,706.00","","","","","","","","",""
